ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
45511-006,Hunan Technical and Vocational Education and Training Demonstration Project,"China, People's Republic of",Sovereign,Loan,Closed,3010,28/06/2013,"50,000,000.00","Chengguan, Furong District, Huarong Xian, Hunan, Shifeng Qu, Tianxin District, Wangcheng County, Yueyanglou Qu, Yuhua District, Zhuzhou Shi, Zixing Shi, huaihua shi",Education,Technical and vocational education and training,B,C,C,East Asia Department,Hunan Provincial Government,"Lu, Lanlan"
45512-001,Urban Stormwater Management and Waterlogging Disaster Prevention,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7839,25/07/2011,"400,000.00",,Water and other urban infrastructure and services,Urban flood protection,,,,East Asia Department,Ministry of Housing and Urban-Rural Development,"Katich, Kristina N."
45513-001,Sustainable Provincial Development Strategy for Guangdong Province Focused on Environmental Improvement in Rural Areas and Small Cities,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7933,24/11/2011,"400,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,East Asia Department,Guangdong Finance Bureau (GFB),"Peng, Long Yun"
45514-001,Management System and Legislative Mechanism for Nonprofit Organizations,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7855,02/09/2011,"400,000.00",,Public sector management,Economic affairs management | Law and judiciary,,,,East Asia Department,National Development and Reform Commission,"Connell, Fiona A."
45515-001,Strengthening Public-Private Partnerships in the Philippines,Philippines,Sovereign,Technical Assistance,Closed,7796,24/03/2011,"2,000,000.00",,Public sector management,Economic affairs management | Public expenditure and fiscal management,,,,Southeast Asia Department,National Economic & Development Authority,"Lozano Astray, Maria Cristina"
45518-001,Enhancing the Energy Regulation System for Low-Carbon Development,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7963,09/12/2011,"720,000.00",,Energy,Energy sector development and institutional reform,,,,East Asia Department,National Energy Administration,"Seiler, Annika"
45519-001,"Strengthening the Resilience of the Urban Water Supply, Drainage, and Sanitation to Climate Change in Coastal Towns",Bangladesh,Sovereign,Technical Assistance,Closed,7890,18/10/2011,0,,Water and other urban infrastructure and services,"Urban flood protection | Urban policy, institutional and capacity development | Urban sanitation | Urban water supply",,,,South Asia Department,Local Government Engineering Department,"Saito, Norio"
45520-001,Community Sanitation Project,Samoa,Sovereign,Grant,Closed,9166,31/07/2012,0,,Water and other urban infrastructure and services,,B,C,C,Pacific Department,Ministry of Finance,"Narayan, Vijay"
45522-001,Government Bond Market Development,Mongolia,Sovereign,Technical Assistance,Closed,7971,14/12/2011,0,,Finance,Finance sector development | Money and capital markets,,,,East Asia Department,Ministry of Finance (formerly Ministry of Finance and Economy),"Lee, Seung Min"
45922-012,Promoting Market Innovation in Developing Social Infrastructure: Old Age Caring,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7949,08/12/2011,"900,000.00",,Public sector management,Social protection initiatives,,,,East Asia Department,National Council for Social Security Fund,"Van Rijn, Johannes Jacobus Frederik"
46007-001,Namangan 500 KV Power Transmission Project,Uzbekistan,Sovereign,Technical Assistance,Closed,8067,03/04/2012,"850,000.00",,Energy,Electricity transmission and distribution,,,,Central and West Asia Department,Joint-Stock Company Uzbekenergo,"Mtchedlishvili, Levan"
46007-002,Namangan 500-Kilovolt Power Transmission Project,Uzbekistan,Sovereign,Loan,Closed,2917 | 2918,11/10/2012,"150,000,000.00","Andijan, Angren Shahri, Fergana, Kosonsoy Tumani, Namangan, Qizil, Ravat, Toshkent Viloyati",Energy,Electricity transmission and distribution,B,C,B,Central and West Asia Department,Uzbekenergo-Talimarjan,"Mtchedlishvili, Levan"
46008-001,Capacity Building and Coordination Improvement for Effective Regional Cooperation Investment Planning,Viet Nam,Sovereign,Technical Assistance,Closed,8310,21/12/2012,0,,Public sector management,Economic affairs management,,,,Southeast Asia Department,Ministry of Planning and Investment,"Tamura, Yumiko"
46009-001,Flood Damage Emergency Reconstruction Project,Cambodia,Sovereign,Grant | Loan,Closed,0285 | 2852 | 3125,27/03/2012,"130,000,000.00","Nation-wide, Banteay Meanchey, Battambang, Kampong Cham, Kampong Thom, Koh Kong, Peam Chileang, Prey Veng, Prey Veng, Siem Reap, Smach Mean Chey, Tboung Khmum","Agriculture, natural resources and rural development | Transport","Irrigation | Rural water policy, institutional and capacity development | Road transport (non-urban)",B,C,B,Southeast Asia Department,Ministry of Economy and Finance,"Long, Piseth Vou"
46009-002,Community-Based Disaster Risk Reduction,Cambodia,Sovereign,Grant,Closed,9178,03/10/2014,0,,Public sector management,,C,C,C,Southeast Asia Department,National Committee for Disaster Management,"Hem, Chanthou"
46010-001,Womenâ€™s Entrepreneurship Development Project,Kyrgyz Republic,Sovereign,Grant,Closed,9170,14/01/2013,0,,Finance,,FI,C,FI-C,Central and West Asia Department,Ministry of Economy,"Tentieva, Gulkayr"
46011-001,"Selected Evaluation Studies for 2012, Phase 1",Regional,Sovereign,Technical Assistance,Closed,8134,10/08/2012,"750,000.00",Regional,Public sector management | Transport,Public administration | Road transport (non-urban),,,,Independent Evaluation Department,Asian Development Bank,"Van Rijn, Johannes Jacobus Frederik"
46012-001,Implementation of the Electricity Industry Policy,Papua New Guinea,Sovereign,Technical Assistance,Closed,8264,10/12/2012,"1,000,000.00",,Energy,Energy sector development and institutional reform,,,,Pacific Department,Energy Division of the Department of Petroleum and Energy,"Maxwell, Anthony"
46014-001,Provincial Renewable Energy Project (formerly Outer Island Renewable Energy Project),Solomon Islands,Sovereign,Technical Assistance,Closed,8130,10/08/2012,"750,000.00",,Energy,Renewable energy generation - small hydro,,,,Pacific Department,"Ministry of Mines, Energy and Rural Electrification","Maxwell, Anthony"
46014-002,Provincial Renewable Energy Project,Solomon Islands,Sovereign,Grant | Loan,Closed,0386 | 3127,12/05/2014,"12,000,000.00",,Energy,Renewable energy generation - small hydro,B,C,B,Pacific Department,"Ministry of Mines, Energy and Rural Electrification","Maxwell, Anthony"
46015-001,Advance Actions for the Flood Damage Emergency Reconstruction Project (FDERP),Cambodia,Sovereign,Technical Assistance,Closed,8051,20/01/2012,"225,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Southeast Asia Department,Ministry of Economy and Finance,"Hakim, Januar"
46019-001,Promoting Cooperation in Sanitary and Phytosanitary Measures for Central Asia Regional Economic Cooperation,Regional,Sovereign,Technical Assistance,Closed,8386,18/06/2013,0,Regional,Health | Industry and trade | Information and communication technology,Health system development | Trade and services | ICT industries and ICT-enabled services,,,,East Asia Department,Asian Development Bank,"Lazaro, Dorothea"
46021-001,Credit and Social Services Rating System Development for Microcredit Companies,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8282,10/12/2012,"400,000.00",,Finance,Finance sector development,,,,East Asia Department,Heilongjiang Provincial Government,"Lee, Seung Min"
46022-001,Improvement of Fiscal Management and Accounting Services Supervision,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8192,15/10/2012,"750,000.00",,Public sector management,Public expenditure and fiscal management,,,,East Asia Department,Ministry of Finance,"Zhang, Yuebin"
46023-001,Innovative Small and Medium-Sized Enterprise Bond Financing and Investor Protection Mechanism,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8461,25/09/2013,"400,000.00",Nation-wide,Finance | Industry and trade,Finance sector development | Money and capital markets | Small and medium enterprise development,,,,East Asia Department,China Securities Regulatory Commission (CSRC),"Lee, Seung Min"
46024-001,Developing a Conducive Environment for Public-Private Partnerships,Mongolia,Sovereign,Technical Assistance,Closed,8236,03/12/2012,"750,000.00",,Public sector management,Public expenditure and fiscal management,,,,East Asia Department,Ministry of Economic Development,"Zhang, Yuebin"
46025-001,Joint Control of Transboundary Animal Diseases in the Peopleâ€™s Republic of China and Mongolia,Regional,Sovereign,Technical Assistance,Closed,8220,21/11/2012,"500,000.00",Regional,"Agriculture, natural resources and rural development",Livestock,,,,East Asia Department,Asian Development Bank,"Lazaro, Dorothea"
46026-001,Facilitation of Regional Transit Trade in Central Asia Regional Economic Cooperation,Regional,Sovereign,Technical Assistance,Closed,8586,16/12/2013,0,Regional,Industry and trade,Trade and services,,,,East Asia Department,Asian Development Bank,"McKenzie, Rosalind Y."
46027-001,Strengthening the Stress Testing Capacity of the Banking System,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8355,23/04/2013,"400,000.00",Nation-wide,Finance,Banking systems and nonbank financial institutions,,,,East Asia Department,China Banking Insurance and Regulatory Commission,"Giannetto, Giacomo G."
46033-001,Highway Safety and Information System Development,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8209,06/11/2012,"500,000.00",,Transport,Road transport (non-urban),,,,East Asia Department,Ministry of Transportation,"Kim, Ki-Joon"
46040-002,Yunnan Pu'er Regional Integrated Road Network Development Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8149,03/09/2012,"785,000.00",,Transport,Road transport (non-urban),,,,East Asia Department,Yunnan Pu'er Municipal Government,"Fay, David R."
46040-003,Yunnan Pu'er Regional Integrated Road Network Development Project,"China, People's Republic of",Sovereign,Loan,Closed,3217,08/12/2014,"200,000,000.00",,Transport,Road transport (non-urban),A,A,A,East Asia Department,Yunnan Pu'er Municipal Government,"Chu, Chenglong"
46042-001,Shaanxi Mountain Road Safety Demonstration Project (formerly Shaanxi Trunk Roads Improvement Project),"China, People's Republic of",Sovereign,Technical Assistance,Closed,8440,05/09/2013,"700,000.00","Ankang, Shangluo",Transport,Road transport (non-urban),,,,East Asia Department,Shaanxi Provincial Department of Transportation,"Fay, David R."
46042-002,Shaanxi Mountain Road Safety Demonstration Project,"China, People's Republic of",Sovereign,Loan,Closed,3294,28/09/2015,"200,000,000.00",Shaanxi,Transport,Road transport (non-urban),A,C,A,Sectors Group,Shaanxi Provincial Department of Transportation,"Stapleton, Rebecca"
46044-001,Renewable Energy Project,Samoa,Sovereign,Technical Assistance,Closed,8308,20/12/2012,"750,000.00",,Energy,Renewable energy generation - small hydro,,,,Pacific Department,Ministry of Finance,"Lee, Woo Yul"
46044-002,Renewable Energy Development and Power Sector Rehabilitation Project,Samoa,Sovereign,Grant,Closed,0370 | 0371 | 0373 | 0456 | 0457,15/11/2013,"18,210,000.00","Alaoa Water Treatment Plant, Faleaseela, Faleata, Fuluasou River, Le-fale-o-le-fee, Tafitoala",Energy,Renewable energy generation - small hydro,B,C,B,Pacific Department,Ministry of Finance,"Melei, Maria"
46045-001,Strengthening Country Safeguard Systems in the Transport Sector,Solomon Islands,Sovereign,Technical Assistance,Closed,8217,16/11/2012,0,,Transport,Transport policies and institutional development,,,,Pacific Department,Ministry of Infrastructure Development,"Williams, Jean"
46047-002,Guangxi Nanning Vocational Education Development Project,"China, People's Republic of",Sovereign,Loan,Closed,3095,13/12/2013,"50,000,000.00",Nanning,Education | Health,Pre-primary and primary - social protection initiatives | Technical and vocational education and training | Health insurance and subsidized health programs,B,B,C,East Asia Department,Nanning Municipal Government,"Lu, Lanlan"
